NAME,SMILES
116,[*:1]NCCOCCOCC[*:2]
117,[*:1]NC1=CC=C(C=C1)OCCOCCOCC[*:2]
118,[*:1]NC1=CC(=CC=C1)OCCOCCOCC[*:2]
119,[*:1]NCC(=O)[*:2]
120,[*:1]C(=O)CCC(=O)NCC(=O)[*:2]
121,[*:1]C(=O)CCCC(=O)NCC(=O)[*:2]
122,[*:1]CC(=O)NCCOCCOCCOCC[*:2]
123,[*:1]CCOCCOCCOCCNC(=O)CO[*:2]
124,[*:1]C(=O)C1=CN(N=N1)CCOCCOCC[*:2]
125,[*:1]C(=O)C1=CN(N=N1)CCOCCOCCOCC[*:2]
126,[*:1]C(=O)C1=CN(N=N1)CCOCCOCCOCCOCC[*:2]
127,[*:1]CCCC1=CN(N=N1)CCOCCOCC[*:2]
128,[*:1]C(=O)C1=CN=NN1CCOCCOCCOCC[*:2]
129,[*:1]C(=O)C1=CN=NN1CCOCCOCCOCCOCC[*:2]
130,[*:1]C(=O)CCCC1=CN(N=N1)CCOCCOCCNC(=O)C[*:2]
131,[*:1]C1=CN(N=N1)CCOCCOCCOCCNC(=O)C[*:2]
132,[*:1]C(=O)C1=CN(N=N1)CCOCCOCCOCCNC(=O)C[*:2]
133,[*:1]C(=O)C1=CN(N=N1)CCOCCOCCOCCOCCNC(=O)C[*:2]
134,[*:1]C(=O)C1=CN(N=N1)CCCCCCCCCCC[*:2]
135,[*:1]C(=O)CCCC1=CN(N=N1)CCCCC[*:2]
136,[*:1]C(=O)C1=CN(N=N1)CCCCC[*:2]
137,[*:1]C(=O)CCCCCCC[*:2]
138,[*:1]OCCOCCOCCOC[*:2]
139,[*:1]OCCCCCOCCCOC[*:2]
140,[*:1]C1=CC=C(C=C1)OCCCCOC[*:2]
141,[*:1]CCC(=O)NCCCOCCOCCO[*:2]
142,[*:1]C(=O)CCC[*:2]
143,[*:1]C(=O)CCCCC[*:2]
144,[*:1]CCCOC[*:2]
145,[*:1]CCCOCC[*:2]
146,[*:1]CCCOCCC(=O)NCCO[*:2]
147,[*:1]CCOCCOCCC(=O)NCCO[*:2]
148,[*:1]CCOCCOCCOCCOCCC(=O)NCCO[*:2]
149,[*:1]CCCCCOCCOCC[*:2]
150,[*:1]CCCCOCCCCOCCCCC[*:2]
151,[*:1]C(=O)CCCNC(=O)CO[*:2]
152,[*:1]CCCCCCOCCOCC(=O)[*:2]
153,[*:1]CCCCOCCCCOCC(=O)[*:2]
154,[*:1]CCCOCCCOCCC(=O)[*:2]
155,[*:1]CCCOCCCOCCC(=O)NCCO[*:2]
156,[*:1]CCCCCCC(=O)[*:2]
157,[*:1]CCCCCCCC(=O)[*:2]
158,[*:1]CCCCCCCCCC(=O)[*:2]
159,[*:1]CC1=CN(N=N1)CCCCCC(=O)[*:2]
160,[*:1]CC1=CN(N=N1)CCCCCCC(=O)[*:2]
161,[*:1]CC1=CN(N=N1)CCCCCCCC(=O)[*:2]
162,[*:1]CC1=CN(N=N1)CCCCCCCCCC(=O)[*:2]
163,[*:1]C(=O)N(C)CCCN(C)C1=CC=C(C=C1)CCCO[*:2]
164,[*:1]CCCOCCCCOCCC[*:2]
165,[*:1]CCCOCCOCCOCCC[*:2]
166,[*:1]OCCOCCOCCO[*:2]
167,[*:1]C(=O)NCCOCCOCCNC(=O)[*:2]
168,[*:1]CCCCCO[*:2]
169,[*:1]C(=O)CCC(=O)NCCCC(=O)[*:2]
170,[*:1]C(=O)CCCCCNC(=O)CCC(=O)NCCCC(=O)[*:2]
171,[*:1]C(=O)CCC(=O)NCCCCCC(=O)[*:2]
172,[*:1]CC1=CN(N=N1)CCCC(=O)[*:2]
173,[*:1]NCCCCCC[*:2]
174,[*:1]NCCCC[*:2]
175,[*:1]NCCOCC[*:2]
176,[*:1]NCCCOCCC[*:2]
177,[*:1]NCCOCCCC[*:2]
178,[*:1]CCCCCCOCCOCCOCCCCCC(=O)[*:2]
179,[*:1]CCCCCCOCCCCCOCCCCCC(=O)[*:2]
180,[*:1]CCCCCCOCCOCCOCCOCCOCCOCC(=O)[*:2]
181,[*:1]CCCCCCOCCOC[*:2]
182,[*:1]CCCCCCOCCOCCOCCCCC[*:2]
183,[*:1]CCCCCCOCCCCCOCCCCC[*:2]
184,[*:1]CCCCCCOCCOCCOCCOCCOCCOC[*:2]
185,[*:1]NCCOCCCOC[*:2]
186,[*:1]NCCCCNC(=O)CO[*:2]
187,[*:1]C(=O)CCC(=O)NCCCCNC(=O)CO[*:2]
188,[*:1]C(=O)CCC(=O)NCCCOCCOCCOCCCNC(=O)CO[*:2]
189,[*:1]NCCOCCOCCOCCOC[*:2]
190,[*:1]COCCOCCOCCNC(=O)C[*:2]
191,[*:1]NCCCCCCCCNC(=O)CO[*:2]
192,[*:1]NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)CO[*:2]
193,[*:1]NCC[*:2]
194,[*:1]NCCO[*:2]
195,[*:1]NCCCCCCCCO[*:2]
196,[*:1]NCCC[*:2]
197,[*:1]C#CC1CN(C1)C2CCN(CC2)[*:2]
198,[*:1]C#CC1CCN(CC1)C2CN(C2)[*:2]
199,[*:1]C#CC1CCN(CC1)[*:2]
200,[*:1]N1CC(C1)C2CCN(CC2)[*:2]
201,[*:1]C1CN(C1)C2CCN(CC2)[*:2]
202,[*:1]C1CCN(CC1)[*:2]
203,[*:1]N1CCN(CC1)[*:2]
204,[*:1]CC(=O)NCCC[*:2]
205,[*:1]CC1=CN(N=N1)CCOCCOCC[*:2]
206,[*:1]CC1=CN(N=N1)CCOCCOCCOCC[*:2]
207,[*:1]CC1=CN(N=N1)CCOCCOCCOCCOCC[*:2]
208,[*:1]CC(=O)NCCOCC[*:2]
209,[*:1]CC(=O)NCCOCCOCC[*:2]
210,[*:1]CC(=O)NCCOCCOCCOCCOCC[*:2]
211,[*:1]CC1=CN(N=N1)CCOCC[*:2]
212,[*:1]CC(=O)NCCCCC[*:2]
213,[*:1]CC1=CN(N=N1)CCCCC[*:2]
214,[*:1]CC1=CN(N=N1)CCCCCC[*:2]
215,[*:1]C(=O)C1=CN(N=N1)CCOCC[*:2]
216,[*:1]C(=O)CC1=CN(N=N1)CCOCC[*:2]
217,[*:1]C(=O)CCC1=CN(N=N1)CCC[*:2]
218,[*:1]C(=O)CCCC1=CN(N=N1)CC[*:2]
219,[*:1]CC1=CN(N=N1)CCCCC#C[*:2]
220,[*:1]CC1=CN(N=N1)CCCCCC#C[*:2]
221,[*:1]CCOCCOCCOCCOCCOCC[*:2]
222,[*:1]CCOCCOCCOCCOCCOCCOCC[*:2]
223,[*:1]CC1=CN(N=N1)CCOCCNC(=O)C[*:2]
224,[*:1]CC1=CN(N=N1)CCOCCOCCNC(=O)C[*:2]
225,[*:1]CC1=CN(N=N1)CCOCCOCCOCCNC(=O)C[*:2]
226,[*:1]CC1=CN(N=N1)CCOCCNC(=O)CC[*:2]
227,[*:1]CC1=CN(N=N1)CCOCCOCCNC(=O)CC[*:2]
228,[*:1]CC1=CN(N=N1)CCOCCOCCOCCNC(=O)CC[*:2]
229,[*:1]CC1=CN(N=N1)CCOCCOCCOCCOCCNC(=O)CC[*:2]
