Date,IP,PROTAC,WARHEAD,LINKER,LIGASE
2025-11-19_23-55-18,172.19.240.1,C[C@@H]1CN(CC(=O)N2C[C@](C)(C#CCOC(=O)CN3N=C(C(F)(F)F)C4=C3CCCC4)C3=C2C=C([C@@H](O)C2=CC=C(F)C=C2)C=N3)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,[1*]OC(=O)CN1N=C(C(F)(F)F)C2=C1CCCC2,[1*]CC#C[2*],[2*][C@]1(C)CN(C(=O)CN2C[C@@H](C)NC[C@@H]2CN2[C@H](C)COC[C@H]2C)C2=C1N=CC([C@@H](O)C1=CC=C(F)C=C1)=C2
2025-11-20_00-12-01,172.19.240.1,C[C@@H]1CN(CC(=O)N2C[C@@](C)(C(=O)COCCOCCOCCN3C=C(CNC(=O)C(=O)CN4N=C(C(F)(F)F)C5=C4CCCC5)N=N3)C3=C2C=C([C@@H](O)C2=CC=C(F)C=C2)C=N3)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,[1*]C(=O)CN1N=C(C(F)(F)F)C2=C1CCCC2,[1*]C(=O)NCC1=CN(CCOCCOCCOCC([2*])=O)N=N1,[2*][C@]1(C)CN(C(=O)CN2C[C@@H](C)NC[C@@H]2CN2[C@H](C)COC[C@H]2C)C2=C1N=CC([C@@H](O)C1=CC=C(F)C=C1)=C2
2025-11-20_00-12-38,172.19.240.1,C[C@@H]1CN(CC(=O)N2C[C@](C)(CCC(=O)C(=O)CN3N=C(C(F)(F)F)C4=C3CCCC4)C3=C2C=C([C@@H](O)C2=CC=C(F)C=C2)C=N3)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,[1*]C(=O)CN1N=C(C(F)(F)F)C2=C1CCCC2,[1*]C(=O)CC[2*],[2*][C@]1(C)CN(C(=O)CN2C[C@@H](C)NC[C@@H]2CN2[C@H](C)COC[C@H]2C)C2=C1N=CC([C@@H](O)C1=CC=C(F)C=C1)=C2
2025-11-20_00-22-53,172.19.240.1,CC(C)CN(CC(COCCOCCOCCOCCOCCOCCOCCN1C=C(CCCCCCCCC(=O)[C@]2(C)CN(C(=O)CN3C[C@@H](C)NC[C@@H]3CN3[C@H](C)COC[C@H]3C)C3=C2N=CC([C@@H](O)C2=CC=C(F)C=C2)=C3)N=N1)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)C1=CC=C2OCOC2=C1,[1*][C@H](CN(CC(C)C)S(=O)(=O)C1=CC=C2OCOC2=C1)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21,[1*]COCCOCCOCCOCCOCCOCCOCCN1C=C(CCCCCCCCC([2*])=O)N=N1,[2*][C@]1(C)CN(C(=O)CN2C[C@@H](C)NC[C@@H]2CN2[C@H](C)COC[C@H]2C)C2=C1N=CC([C@@H](O)C1=CC=C(F)C=C1)=C2
2025-11-23_02-46-01,172.19.240.1,CC1(C)SCN(C(=O)[C@@H](O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)COC2=CC=CC3=C2C=CN=C3)[C@@H]1C(=O)N[C@H]1C2=CC=CC=C2C(C(=O)CC(/C2=C3\N=CC(Cl)=C3/C=C\C2)S(=O)(=O)C2=CC=C(S(N)(=O)=O)C=C2)[C@H]1O,[1*]C1C2=CC=CC=C2[C@H](NC(=O)[C@H]2N(C(=O)[C@@H](O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)COC3=CC=CC4=C3C=CN=C4)CSC2(C)C)[C@@H]1O,[1*]C(=O)C[2*],[2*]C(/C1=C2\N=CC(Cl)=C2/C=C\C1)S(=O)(=O)C1=CC=C(S(N)(=O)=O)C=C1
2025-11-23_02-51-09,172.19.240.1,CC1(C)SCN(C(=O)[C@@H](O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)COC2=CC=CC3=C2C=CN=C3)[C@@H]1C(=O)N[C@H]1C2=CC=CC=C2C(CC(=O)CC(/C2=C3\N=CC(Cl)=C3/C=C\C2)S(=O)(=O)C2=CC=C(S(N)(=O)=O)C=C2)[C@H]1O,[1*]C1C2=CC=CC=C2[C@H](NC(=O)[C@H]2N(C(=O)[C@@H](O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CS(C)(=O)=O)NC(=O)COC3=CC=CC4=C3C=CN=C4)CSC2(C)C)[C@@H]1O,[1*]CC(=O)C[2*],[2*]C(/C1=C2\N=CC(Cl)=C2/C=C\C1)S(=O)(=O)C1=CC=C(S(N)(=O)=O)C=C1
2025-12-02_19-48-20,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)ONCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)C1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC([2*])=O,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_20-25-25,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)ON1CCN(C(=O)C2C[C@@H](C(=O)NCC3=CC=C(C4=C(C)N=CO4)C=C3)N(C(=O)CC(C)(C)C)C2)CC1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]N1CCN(C([2*])=O)CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_20-30-09,172.19.240.1,CC1=C(C2=CC=C(CNC(=O)[C@@H]3CC(N4CCN(C(=O)C(C)[C@H](NC(=O)COC5=CC=CC=C5)C(=O)N[C@@H](CC5=CC=CC=C5)[C@@H](O)[C@H]5O[C@@H]5CC5=CC=CC=C5)CC4)CN3C(=O)CC(C)(C)C)C=C2)OC=N1,[1*]C(C)[C@H](NC(=O)COC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)[C@H]1O[C@@H]1CC1=CC=CC=C1,[1*]C(=O)N1CCN([2*])CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_20-35-16,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OC(=O)N1CCN(C2C[C@@H](C(=O)NCC3=CC=C(C4=C(C)N=CO4)C=C3)N(C(=O)CC(C)(C)C)C2)CC1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C(=O)N1CCN([2*])CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_20-36-41,172.19.240.1,CC1=C(C2=CC=C(CNC(=O)[C@@H]3CC(N4CCN(C(=O)N5CCN(C6=CC=C(C(=O)O)C=C6)CC5)CC4)CN3C(=O)CC(C)(C)C)C=C2)OC=N1,[1*]N1CCN(C2=CC=C(C(=O)O)C=C2)CC1,[1*]C(=O)N1CCN([2*])CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
